Cidade,Bairro,Tipo_imovel,Area(m²),Quartos,Banheiros,Vagas,Preco(R$),Condominio(R$),Andar,Portaria 24h
Rio de Janeiro,Cascadura,Apto,70,3,1,0,160000,100,3,não
Rio de Janeiro,Méier,Apto,175,4,5,4,1300000,3500,22,sim
Rio de Janeiro,Pechincha,Casa,324,4,4,1,589830,80,1,não
Rio de Janeiro,Copacabana,Apto,134,3,3,1,1199550,2000,19,sim
Rio de Janeiro,Humaitá,Apto,141,2,4,1,2380000,1732,15,sim
Rio de Janeiro,Santa Teresa,Apto,80,2,1,1,389130,740,1,sim
Rio de Janeiro,Jardim Botânico,Casa,394,4,6,1,3700000,1,2,não
Rio de Janeiro,Humaitá,Apto,100,3,4,1,1240000,1350,2,sim
Rio de Janeiro,Santa Teresa,Apto,27,1,1,0,340000,570,4,não
Rio de Janeiro,Botafogo,Apto,18,1,1,0,500000,595,5,não
Rio de Janeiro,Leblon,Apto,53,2,3,1,2777777,1200,2,sim
Rio de Janeiro,Copacabana,Apto,156,3,1,1,1939600,2200,18,sim
Rio de Janeiro,Laranjeiras,Apto,63,2,3,0,1200000,950,5,sim
Rio de Janeiro,Centro,Apto,30,1,1,0,400000,600,14,sim
Rio de Janeiro,Tijuca,Apto,72,2,1,1,480000,1015,1,sim
Rio de Janeiro,Tijuca,Apto,89,3,3,1,450000,1355,1,sim
Rio de Janeiro,Tijuca,Casa,181,6,4,4,890000,0,2,não
Rio de Janeiro,Tijuca,Apto,99,3,3,1,1099000,1200,7,sim
Rio de Janeiro,Vila Isabel,Casa,117,3,1,2,410000,0,0,não
Rio de Janeiro,Vila Isabel,Apto,118,3,2,1,698000,1250,12,sim
Rio de Janeiro,Tijuca,Apto,180,3,4,1,950000,2350,4,sim
Rio de Janeiro,Centro,Apto,21,1,1,0,150000,430,3,não
Rio de Janeiro,Cachambi,Apto,68,2,2,1,260000,600,4,não
Rio de Janeiro,Copacabana,Apto,33,1,1,0,610000,600,16,sim
Rio de Janeiro,Vila Isabel,Apto,150,4,3,2,798000,900,5,sim
Rio de Janeiro,Anil,Apto,65,2,2,0,198000,130,2,não
Rio de Janeiro,Copacabana,Apto,360,6,4,1,2350000,3400,21,sim
Rio de Janeiro,Vila Isabel,Apto,67,2,2,1,529,900,8,sim
Rio de Janeiro,Tijuca,Apto,90,3,3,1,750000,1063,9,sim
Rio de Janeiro,Méier,Apto,77,2,1,1,350000,972,7,sim
Rio de Janeiro,Copacabana,Apto,82,2,2,0,900000,925,2,sim
Rio de Janeiro,Copacabana,Apto,100,3,3,0,1200000,1361,3,sim
Rio de Janeiro,Méier,Casa,108,3,3,0,450000,0,0,não
Rio de Janeiro,Tijuca,Apto,90,3,1,1,300000,880,1,sim
Rio de Janeiro,Tijuca,Apto,85,3,2,1,660000,1260,3,sim
Rio de Janeiro,Copacabana,Apto,150,3,3,1,2100000,2600,3,sim
Rio de Janeiro,Copacabana,Apto,75,2,2,2,809999,900,3,sim
Rio de Janeiro,Barra da Tijuca,Apto,205,4,4,1,2800000,3400,19,sim
Rio de Janeiro,Flamengo,Apto,100,3,2,1,1390000,1400,1,sim
Rio de Janeiro,Anil,Apto,48,2,1,1,268000,650,4,não
Rio de Janeiro,Barra Olímpica,Apto,70,2,2,1,890000,1150,12,sim
Rio de Janeiro,Tijuca,Apto,88,3,3,1,490000,1300,8,sim
Rio de Janeiro,Copacabana,Apto,68,2,2,0,949000,1400,14,sim
Rio de Janeiro,Copacabana,Apto,270,3,5,2,1947000,2603,3,sim
Rio de Janeiro,Copacabana,Apto,208,3,2,1,1400000,3900,7,sim
Rio de Janeiro,Anil,Apto,49,2,1,1,280000,550,9,não
Rio de Janeiro,Glória,Apto,70,2,2,1,650000,1100,4,não
Rio de Janeiro,Lagoa,Apto,140,4,3,1,2200000,1750,5,sim
Rio de Janeiro,Copacabana,Apto,85,3,1,1,750000,1130,3,não
Rio de Janeiro,Flamengo,Apto,143,3,4,1,1899999,1577,10,sim
Rio de Janeiro,Copacabana,Apto,126,4,4,1,1490000,2045,10,sim
Rio de Janeiro,Copacabana,Apto,300,3,3,1,2400000,1700,11,sim
Rio de Janeiro,Santa Teresa,Casa,400,8,4,2,1050000,0,2,não
Rio de Janeiro,Tijuca,Apto,160,4,4,4,1190000,2112,8,sim
Rio de Janeiro,Leblon,Apto,153,4,4,3,3200000,2150,11,sim
Rio de Janeiro,Lagoa,Apto,259,4,8,2,5003210,3626,1,sim
Rio de Janeiro,Ipanema,Apto,120,3,3,1,3050000,2500,6,sim
Rio de Janeiro,Recreio dos Bandeirantes,Apto,119,4,6,2,1180000,1800,14,sim
Rio de Janeiro,Barra da Tijuca,Apto,281,4,6,4,9000000,9000,12,sim
Rio de Janeiro,Vila Isabel,Casa,144,4,2,0,559000,80,0,sim
Rio de Janeiro,Tijuca,Apto,148,3,3,2,1100000,2200,16,sim
Rio de Janeiro,Tijuca,Apto,90,2,2,0,465000,500,4,sim
Rio de Janeiro,Andaraí,Apto,87,2,1,1,550000,1103,7,sim
Rio de Janeiro,Tijuca,Apto,93,2,2,1,990000,1200,12,sim
Rio de Janeiro,Maracanã,Apto,90,3,2,1,470000,950,3,sim
Rio de Janeiro,Grajaú,Apto,70,2,2,0,280000,819,2,sim
Rio de Janeiro,Rio Comprido,Apto,50,2,1,1,258000,480,4,não
Rio de Janeiro,Rio Comprido,Apto,65,2,1,1,375000,1150,1,sim
Rio de Janeiro,Grajaú,Apto,174,2,1,1,749000,900,6,não
Rio de Janeiro,Vila Isabel,Apto,98,3,2,1,475000,542,2,não
Rio de Janeiro,Tijuca,Apto,110,3,3,0,400000,400,1,não
Rio de Janeiro,Praça da Bandeira,Apto,90,3,2,1,1150000,895,4,não
Rio de Janeiro,Botafogo,Apto,35,1,1,0,385000,800,10,não
Rio de Janeiro,Maracanã,Casa,360,6,6,1,900000,70,3,não
Rio de Janeiro,Lins de Vasconcelos,Apto,65,2,2,1,220000,630,1,não
Rio de Janeiro,Vila Isabel,Apto,82,3,2,0,280000,674,6,não
Rio de Janeiro,Taquara,Apto,32,1,1,1,230000,1050,8,não
Rio de Janeiro,Méier,Apto,173,4,3,2,600000,1400,17,sim
Rio de Janeiro,Leblon,Apto,55,2,2,0,1450000,770,2,não
Rio de Janeiro,Laranjeiras,Apto,169,3,4,2,1900000,1798,5,sim
Rio de Janeiro,Flamengo,Apto,86,3,3,1,990000,1241,15,sim
Rio de Janeiro,Centro,Apto,56,1,2,0,398000,806,14,sim
Rio de Janeiro,Ipanema,Apto,105,4,4,1,2950000,3150,23,sim
Rio de Janeiro,Gávea,Apto,99,3,3,1,1420000,1350,1,sim
Rio de Janeiro,Glória,Apto,50,1,1,0,525000,750,11,sim
Rio de Janeiro,Barra Olímpica,Apto,78,3,2,1,730000,920,20,sim
Rio de Janeiro,Barra da Tijuca,Apto,268,4,6,4,6530000,5000,17,sim
Rio de Janeiro,Anil,Apto,61,2,2,1,353000,723,11,sim
Rio de Janeiro,Vila da Penha,Casa,271,4,3,3,680000,0,3,não
Rio de Janeiro,Irajá,Apto,70,3,1,0,170000,123,3,não
Rio de Janeiro,Vila da Penha,Apto,54,1,1,0,180000,10,1,não
Rio de Janeiro,Irajá,Apto,80,2,2,1,370000,482,2,não
Rio de Janeiro,Irajá,Apto,165,3,3,2,850000,800,4,não
Rio de Janeiro,Vila da Penha,Casa,224,4,3,3,1300000,0,2,não
Rio de Janeiro,Penha,Apto,81,2,3,1,325000,610,9,não
Rio de Janeiro,Barra da Tijuca,Apto,381,4,6,4,10390000,8036,11,sim
Rio de Janeiro,Bento Ribeiro,Apto,80,2,1,0,178000,450,2,não
Rio de Janeiro,Recreio dos Bandeirantes,Apto,82,3,1,1,610000,1200,5,sim
Rio de Janeiro,Recreio dos Bandeirantes,Apto,101,3,2,2,850000,1300,2,sim
Rio de Janeiro,Praça Seca,Apto,245,4,4,2,488000,2180,4,sim
Rio de Janeiro,Engenho Novo,Casa,69,2,1,0,159000,0,0,não
Rio de Janeiro,Barra Olímpica,Apto,71,2,2,1,680000,1800,3,sim
Rio de Janeiro,São Cristóvão,Apto,44,1,1,1,342000,359,7,sim
Rio de Janeiro,Grajaú,Apto,122,3,1,1,750000,1588,6,não
Rio de Janeiro,Anil,Casa,350,4,4,3,1200000,150,2,não
Rio de Janeiro,Barra da Tijuca,Casa,1868,8,10,6,7390000,2890,3,sim
Rio de Janeiro,Recreio dos Bandeirantes,Apto,120,3,1,2,958000,2300,10,sim
Rio de Janeiro,Copacabana,Apto,196,3,3,1,1899000,1960,5,sim
Rio de Janeiro,Freguesia (Jacarepaguá),Apto,80,3,2,1,530000,900,2,não
Rio de Janeiro,Freguesia (Jacarepaguá),Casa,248,6,6,4,1200000,0,0,não
Rio de Janeiro,Freguesia (Jacarepaguá),Casa,100,3,4,1,450000,230,0,não
Rio de Janeiro,Cosme Velho,Casa,1040,5,5,3,4590000,110,5,sim
Rio de Janeiro,Taquara,Apto,65,2,2,1,429000,700,2,sim
Rio de Janeiro,Tijuca,Apto,100,2,2,1,849000,800,9,sim
Rio de Janeiro,Freguesia (Jacarepaguá),Casa,114,3,1,1,45000,10,1,sim
Rio de Janeiro,Rocha Miranda,Apto,39,2,1,0,105000,10,3,não
Rio de Janeiro,Barra da Tijuca,Apto,65,2,1,1,785000,1780,10,sim
Rio de Janeiro,Recreio dos Bandeirantes,Casa,300,3,3,4,2510000,1,1,não
Rio de Janeiro,Tanque,Casa,238,2,1,2,344000,1,1,não
Rio de Janeiro,Barra da Tijuca,Apto,147,4,4,2,2949000,2300,10,não
Rio de Janeiro,Barra da Tijuca,Casa,336,5,5,5,490000,3316,3,não
Rio de Janeiro,Flamengo,Apto,100,3,2,1,1500000,18000,11,sim
Rio de Janeiro,Copacabana,Apto,36,1,1,0,480000,690,9,sim
Rio de Janeiro,Barra da Tijuca,Apto,113,3,4,2,1180000,1825,19,sim
Rio de Janeiro,Barra da Tijuca,Apto,128,3,3,2,2180000,1998,8,sim
Rio de Janeiro,Copacabana,Apto,170,3,4,1,1900000,1800,11,sim
Rio de Janeiro,Leblon,Apto,135,3,3,0,2100000,840,4,não
Rio de Janeiro,Leblon,Apto,94,4,3,1,1750000,1407,6,sim
Rio de Janeiro,Copacabana,Apto,101,2,1,1,2000000,2100,5,sim
Rio de Janeiro,Copacabana,Apto,83,2,1,1,1070000,1001,1,não
Rio de Janeiro,Leblon,Apto,62,2,3,1,1800000,1100,18,sim
Rio de Janeiro,Copacabana,Apto,185,3,3,1,1850000,2450,18,sim
Rio de Janeiro,Copacabana,Apto,114,4,3,2,1400000,1300,13,sim
Rio de Janeiro,Copacabana,Apto,160,4,3,2,1680000,2000,20,não
Rio de Janeiro,Ipanema,Apto,78,2,3,1,1800000,1590,1,sim
Rio de Janeiro,Urca,Casa,256,2,5,4,3200000,5000,1,sim
Rio de Janeiro,Leblon,Apto,117,3,2,2,3100000,1970,4,sim
Rio de Janeiro,Copacabana,Apto,98,3,2,1,1250000,2100,19,sim
Rio de Janeiro,Ipanema,Apto,68,2,3,1,980000,1300,19,sim
Rio de Janeiro,Copacabana,Apto,147,3,4,1,2100000,1955,11,não
Rio de Janeiro,Copacabana,Casa,143,3,2,1,1450000,2000,1,não
Rio de Janeiro,Ipanema,Apto,277,3,4,2,3490000,3000,20,sim
Rio de Janeiro,Copacabana,Apto,260,4,5,2,3000000,2400,5,sim
Rio de Janeiro,Copacabana,Apto,120,2,4,1,1420000,1567,16,sim
