Cidade,Bairro,Tipo_imovel,Area(m²),Quartos,Banheiros,Vagas,Preco(R$),Condominio(R$),Andar,Portaria 24h
Rio de Janeiro,Tijuca,Apto,105,3,3,1,730000,600,4,não
Rio de Janeiro,Cachambi,Apto,60,3,3,1,440000,365,3,não
Rio de Janeiro,Engenho da Rainha,Apto,49,2,1,1,200000,345,8,não
Rio de Janeiro,Cachambi,Apto,60,2,2,1,369000,1250,6,sim
Rio de Janeiro,Méier,Apto,91,2,3,2,350000,1200,17,sim
Rio de Janeiro,Méier,Casa,134,3,3,2,550000,0,2,não
Rio de Janeiro,Rio Comprido,Apto,75,2,2,1,349000,989,3,não
Rio de Janeiro,Engenho Novo,Apto,64,1,2,1,170000,437,2,não
Rio de Janeiro,Vila Isabel,Apto,69,2,2,1,380000,1187,1,sim
Rio de Janeiro,Engenho Novo,Apto,59,2,2,0,175000,579,1,não
Rio de Janeiro,Engenho Novo,Casa,65,2,3,0,340000,0,0,não
Rio de Janeiro,Cascadura,Casa,197,3,4,6,550000,0,1,não
Rio de Janeiro,Cachambi,Apto,48,3,3,1,500000,0,2,não
Rio de Janeiro,Engenho Novo,Apto,87,3,2,1,220000,777,1,sim
Rio de Janeiro,Méier,Apto,82,2,2,1,430000,950,8,não
Rio de Janeiro,Cascadura,Casa,120,3,4,2,479000,80,2,não
Rio de Janeiro,Cachambi,Casa,170,6,8,1,800000,115,1,não
Rio de Janeiro,Riachuelo,Apto,67,2,2,1,260000,1000,3,sim
Rio de Janeiro,Del Castilho,Apto,45,2,1,1,429000,750,6,sim
Rio de Janeiro,Cachambi,Apto,55,3,1,0,230000,550,4,não
Rio de Janeiro,Todos os Santos,Apto,60,2,3,1,260000,800,7,não
Rio de Janeiro,Tijuca,Apto,54,2,3,1,649000,300,6,não
Rio de Janeiro,Engenho Novo,Apto,70,2,2,1,290000,600,5,não
Rio de Janeiro,Tijuca,Apto,75,2,1,1,418000,880,5,sim
Rio de Janeiro,Recreio dos Bandeirantes,Apto,80,2,3,1,750000,961,2,não
Rio de Janeiro,Tijuca,Apto,92,3,3,0,359999,1069,1,sim
Rio de Janeiro,Cachambi,Apto,57,1,2,1,184000,749,3,sim
Rio de Janeiro,Tijuca,Apto,73,2,2,1,459999,770,3,sim
Rio de Janeiro,Cachambi,Apto,120,3,2,1,299000,665,7,não
Rio de Janeiro,Cachambi,Apto,72,2,2,1,230000,702,4,sim
Rio de Janeiro,Cachambi,Casa,143,3,3,3,900000,0,0,não
Rio de Janeiro,Abolição,Casa,140,3,2,1,460000,0,0,não
Rio de Janeiro,Méier,Apto,65,2,1,0,200000,0,2,não
Rio de Janeiro,Grajaú,Casa,136,4,5,1,750000,163,0,não
Rio de Janeiro,Cachambi,Casa,127,3,4,1,440000,375,2,não
Rio de Janeiro,Del Castilho,Apto,77,2,2,1,215000,620,6,não
Rio de Janeiro,Todos os Santos,Apto,144,2,2,1,580000,1150,1,sim
Rio de Janeiro,Cascadura,Apto,46,2,1,1,245000,876,8,não
Rio de Janeiro,Del Castilho,Casa,85,2,1,0,280000,0,0,não
Rio de Janeiro,Engenho de Dentro,Apto,75,3,2,1,290000,1027,6,sim
Rio de Janeiro,Engenho de Dentro,Apto,52,2,2,1,180000,861,8,sim
Rio de Janeiro,Cachambi,Apto,74,3,2,1,300000,778,3,sim
Rio de Janeiro,Barra Olímpica,Apto,50,2,1,1,335000,500,4,não
Rio de Janeiro,Quintino de Bocaiúva,Apto,32,2,2,1,112000,700,2,não
Rio de Janeiro,Barra Olímpica,Apto,200,3,3,2,1050000,1800,7,sim
Rio de Janeiro,Recreio dos Bandeirantes,Apto,87,3,3,2,600000,870,3,não
Rio de Janeiro,Freguesia (Jacarepaguá),Apto,80,2,3,1,390000,1111,4,sim
Rio de Janeiro,Barra Olímpica,Apto,131,3,4,2,1260000,1570,3,sim
Rio de Janeiro,Recreio dos Bandeirantes,Apto,365,3,5,2,1490000,1910,7,sim
Rio de Janeiro,Recreio dos Bandeirantes,Casa,350,6,9,3,3650000,697,2,não
Rio de Janeiro,Recreio dos Bandeirantes,Casa,293,4,5,4,1750000,6260,2,sim
Rio de Janeiro,Recreio dos Bandeirantes,Apto,69,2,2,1,595000,1091,12,sim
Rio de Janeiro,Maracanã,Apto,90,3,2,1,560000,600,4,não
Rio de Janeiro,Tijuca,Apto,143,3,3,1,1280000,1600,1,sim
Rio de Janeiro,Vila Isabel,Apto,80,2,2,1,320000,980,8,não
Rio de Janeiro,Engenho de Dentro,Apto,45,2,1,1,330000,390,13,não
Rio de Janeiro,Vila Isabel,Apto,67,2,2,1,529000,900,6,não
Rio de Janeiro,Tijuca,Apto,90,3,3,1,750000,1063,7,não
Rio de Janeiro,Barra da Tijuca,Apto,60,1,1,1,1500000,2800,1,sim
Rio de Janeiro,Barra da Tijuca,Apto,100,2,3,1,2700000,5500,14,sim
Rio de Janeiro,Barra da Tijuca,Apto,52,1,1,1,820000,2800,3,sim
Rio de Janeiro,Vila Isabel,Apto,86,2,1,1,580000,950,4,não
Rio de Janeiro,Maracanã,Apto,65,2,2,0,430000,867,5,não
Rio de Janeiro,Grajaú,Casa,214,4,4,3,1160000,2771,7,sim
Rio de Janeiro,Tijuca,Apto,100,3,3,1,580000,1000,2,não
Rio de Janeiro,Tijuca,Apto,70,2,1,1,446500,1098,3,não
Rio de Janeiro,Copacabana,Apto,75,2,3,2,809999,900,11,sim
Rio de Janeiro,Barra da Tijuca,Apto,116,3,4,2,1300000,1320,1,sim
Rio de Janeiro,Copacabana,Apto,80,3,1,1,830000,1300,5,sim
Rio de Janeiro,Tijuca,Apto,94,3,2,1,1050000,1250,3,sim
Rio de Janeiro,Humaitá,Apto,81,3,2,1,1380000,1529,6,sim
Rio de Janeiro,Anil,Casa,193,3,3,2,420000,10,2,não
Rio de Janeiro,Freguesia (Jacarepaguá),Casa,119,5,4,4,985000,1285,2,não
Rio de Janeiro,Freguesia (Jacarepaguá),Casa,736,5,5,6,1100000,677,2,não
Rio de Janeiro,Tanque,Apto,158,3,1,1,700000,16000,6,sim
Rio de Janeiro,Freguesia (Jacarepaguá),Casa,130,3,3,1,450000,0,1,não
Rio de Janeiro,Anil,Casa,330,4,5,2,1390000,463,2,não
Rio de Janeiro,Flamengo,Apto,290,4,4,2,3290000,2493,17,sim
Rio de Janeiro,Copacabana,Apto,47,1,1,0,690000,867,9,não
Rio de Janeiro,Copacabana,Apto,83,3,3,0,945000,906,3,não
Rio de Janeiro,Maracanã,Apto,70,2,3,1,459000,1279,3,não
Rio de Janeiro,Vila Isabel,Apto,80,3,1,0,369000,530,5,não
Rio de Janeiro,Barra da Tijuca,Apto,106,3,3,1,2350000,3029,17,sim
Rio de Janeiro,Ipanema,Apto,186,4,6,3,5450000,3025,14,sim
Rio de Janeiro,Ipanema,Apto,108,3,3,1,3600000,2490,6,sim
Rio de Janeiro,Leblon,Apto,148,3,1,1,2800,2713,1,sim
Rio de Janeiro,Lagoa,Apto,108,3,3,1,2140000,2122,6,sim
Rio de Janeiro,Leblon,Apto,101,3,3,1,2790000,1500,3,sim
Rio de Janeiro,Lagoa,Apto,126,3,4,1,2500000,1856,4,sim
Rio de Janeiro,Gávea,Apto,138,3,3,1,2500000,1800,3,sim
Rio de Janeiro,Copacabana,Apto,130,3,3,1,1100000,1600,12,sim
Rio de Janeiro,Copacabana,Apto,113,2,2,2,2097000,1350,11,sim
Rio de Janeiro,Jardim Botânico,Apto,114,3,2,1,1400000,650,3,não
Rio de Janeiro,Gávea,Apto,83,2,3,2,1500000,2090,3,sim
Rio de Janeiro,Ipanema,Apto,80,1,2,1,1890000,1300,2,não
Rio de Janeiro,Vila da Penha,Casa,159,2,3,1,430000,0,2,não
Rio de Janeiro,Cachambi,Apto,140,3,3,2,460000,1430,8,sim
Rio de Janeiro,Barra da Tijuca,Apto,222,3,3,3,3400000,4645,8,sim
Rio de Janeiro,Catete,Apto,66,2,2,1,798000,1352,15,não
Rio de Janeiro,Méier,Apto,114,2,2,2,530000,820,4,não
Rio de Janeiro,Ipanema,Apto,46,1,1,0,950000,1130,6,sim
Rio de Janeiro,Laranjeiras,Apto,195,3,4,4,2090000,2890,17,sim
Rio de Janeiro,Flamengo,Apto,175,4,3,1,1850000,2200,7,sim
Rio de Janeiro,São Conrado,Apto,261,4,4,2,4000000,5637,10,sim
Rio de Janeiro,Barra da Tijuca,Casa,438,4,5,3,5500000,5000,3,sim
Rio de Janeiro,Flamengo,Apto,191,3,3,1,1890000,2000,6,sim
Rio de Janeiro,Flamengo,Apto,100,3,3,1,1250000,1400,2,sim
Rio de Janeiro,Urca,Apto,50,1,1,0,1100000,750,3,não
Rio de Janeiro,Copacabana,Apto,156,3,3,2,2190000,2700,13,sim
Rio de Janeiro,Leblon,Apto,155,3,6,2,4250000,3500,2,sim
Rio de Janeiro,Ipanema,Apto,55,1,2,1,1100000,900,13,sim
Rio de Janeiro,Gávea,Apto,39,1,1,0,695000,650,5,sim
Rio de Janeiro,Gávea,Apto,105,2,2,1,2500000,2300,3,sim
Rio de Janeiro,Laranjeiras,Apto,75,2,3,1,980000,2700,5,não
Rio de Janeiro,Copacabana,Apto,45,2,2,0,750000,900,5,sim
Rio de Janeiro,Catete,Apto,59,2,2,0,545000,870,8,não
Rio de Janeiro,Flamengo,Apto,118,2,2,0,895000,1280,7,não
Rio de Janeiro,Freguesia (Jacarepaguá),Apto,54,1,1,1,231000,671,4,não
Rio de Janeiro,Tijuca,Apto,50,1,1,0,549000,0,1,não
Rio de Janeiro,Leblon,Apto,45,1,1,0,890000,750,6,não
Rio de Janeiro,Jardim Botânico,Apto,79,2,1,0,650000,1000,1,sim
Rio de Janeiro,Leblon,Apto,150,3,3,2,3750000,4500,2,sim
Rio de Janeiro,Lagoa,Apto,92,2,3,1,1370000,1417,13,sim
Rio de Janeiro,Ipanema,Apto,60,2,3,1,1750000,1147,4,não
Rio de Janeiro,Jardim Botânico,Apto,60,2,2,0,650000,1200,3,não
Rio de Janeiro,Leblon,Apto,78,2,2,0,1490000,800,8,não
Rio de Janeiro,Grajaú,Apto,100,3,2,1,585000,1158,7,sim
Rio de Janeiro,Lins de Vasconcelos,Apto,78,2,2,1,240000,966,8,sim
Rio de Janeiro,Del Castilho,Apto,50,2,2,1,309000,927,1,sim
Rio de Janeiro,Taquara,Apto,79,2,2,1,320000,1250,4,sim
Rio de Janeiro,Cachambi,Apto,70,2,2,1,330000,890,5,sim
Rio de Janeiro,Méier,Apto,68,2,2,0,350000,665,5,não
Rio de Janeiro,Quintino de Bocaiúva,Apto,72,3,1,1,230000,300,2,não
Rio de Janeiro,Méier,Apto,226,3,3,4,950000,2306,7,sim
Rio de Janeiro,Engenho Novo,Casa,184,3,4,3,450000,1247,1,não
Rio de Janeiro,Barra da Tijuca,Apto,121,3,5,0,1890000,1850,3,sim
Rio de Janeiro,Recreio dos Bandeirantes,Apto,300,3,6,4,2320000,1651,2,sim
Rio de Janeiro,Recreio dos Bandeirantes,Apto,90,2,3,1,1250000,1580,2,sim
Rio de Janeiro,Copacabana,Apto,360,5,7,1,2800000,2530,3,sim
Rio de Janeiro,Engenho de Dentro,Casa,117,2,5,1,350000,10,2,não
Rio de Janeiro,Riachuelo,Apto,77,3,2,1,385000,1118,9,não
Rio de Janeiro,Vila Isabel,Apto,180,4,4,2,798000,1000,3,não
Rio de Janeiro,Rio Comprido,Casa,160,4,6,2,800000,0,2,não
Rio de Janeiro,Todos os Santos,Apto,62,2,1,1,200000,840,6,sim
Rio de Janeiro,Copacabana,Apto,100,3,2,0,1100000,1700,9,sim
Rio de Janeiro,Méier,Apto,64,2,1,0,240000,800,14,sim
Rio de Janeiro,Flamengo,Apto,190,3,3,1,2100000,2100,12,sim
Rio de Janeiro,Abolição,Apto,63,3,1,0,200000,240,3,não
Rio de Janeiro,Lins de Vasconcelos,Apto,74,2,2,1,197000,724,4,não
Rio de Janeiro,Cachambi,Apto,101,2,2,1,300000,700,4,não
Rio de Janeiro,Todos os Santos,Apto,56,3,2,0,200000,797,7,não
Rio de Janeiro,Engenho Novo,Apto,62,1,2,1,160000,754,6,não
